site,Mean,Max,Min,Data_Points
2849,25.77071025,587.85,-4.97,15924
2899,31.57489359,614,0,17151
2948,14.03239132,846,-3.5,16631
2955,21.43918153,758.6,-3.4,17105
2956,21.50041109,576.3,-3.3,17028
3011,26.14818725,985,-3.3,17239
3026,46.94791587,949.3,-13.5,13075
3154,19.82157122,1987.6,-12.5,17426
3658,26.14045999,844,-5,17044
3762,28.10199297,600,-4,17060
