site,value,units,name,latitude,longitude,dateC
3762,9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 0:00
3762,9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 1:00
3762,7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 2:00
3762,3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 3:00
3762,1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 4:00
3762,1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 5:00
3762,1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 6:00
3762,0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 7:00
3762,0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 8:00
3762,1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 9:00
3762,4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 10:00
3762,7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 11:00
3762,9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 12:00
3762,6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 13:00
3762,29,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 14:00
3762,38,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 15:00
3762,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 16:00
3762,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 17:00
3762,12,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 18:00
3762,8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 19:00
3762,11,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 20:00
3762,9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Arroyo Grande-2391 Willow Road,35.04676,-120.58777,1/1/19 21:00
