,site,value,variable,quality,dateC
84,3154,3.9,PMTEOM,0.0,2020-01-04 12:00:00
85,3154,5.1,PMTEOM,0.0,2020-01-04 13:00:00
86,3154,8.0,PMTEOM,0.0,2020-01-04 14:00:00
87,3154,7.0,PMTEOM,0.0,2020-01-04 15:00:00
88,3154,6.2,PMTEOM,0.0,2020-01-04 16:00:00
89,3154,7.6,PMTEOM,0.0,2020-01-04 17:00:00
90,3154,5.5,PMTEOM,0.0,2020-01-04 18:00:00
91,3154,5.1,PMTEOM,0.0,2020-01-04 19:00:00
92,3154,5.2,PMTEOM,0.0,2020-01-04 20:00:00
93,3154,5.5,PMTEOM,0.0,2020-01-04 21:00:00
94,3154,5.4,PMTEOM,0.0,2020-01-04 22:00:00
95,3154,5.2,PMTEOM,0.0,2020-01-04 23:00:00
96,3154,5.0,PMTEOM,0.0,2020-01-05 00:00:00
97,3154,5.0,PMTEOM,0.0,2020-01-05 01:00:00
98,3154,4.1,PMTEOM,0.0,2020-01-05 02:00:00
99,3154,3.6,PMTEOM,0.0,2020-01-05 03:00:00
100,3154,5.1,PMTEOM,0.0,2020-01-05 04:00:00
101,3154,5.0,PMTEOM,0.0,2020-01-05 05:00:00
102,3154,5.8,PMTEOM,0.0,2020-01-05 06:00:00
103,3154,4.7,PMTEOM,0.0,2020-01-05 07:00:00
104,3154,6.6,PMTEOM,0.0,2020-01-05 08:00:00
105,3154,7.2,PMTEOM,0.0,2020-01-05 09:00:00
106,3154,7.2,PMTEOM,0.0,2020-01-05 10:00:00
107,3154,9.9,PMTEOM,0.0,2020-01-05 11:00:00
108,3154,19.7,PMTEOM,0.0,2020-01-05 12:00:00
109,3154,15.0,PMTEOM,0.0,2020-01-05 13:00:00
110,3154,11.2,PMTEOM,0.0,2020-01-05 14:00:00
111,3154,12.1,PMTEOM,0.0,2020-01-05 15:00:00
112,3154,7.8,PMTEOM,0.0,2020-01-05 16:00:00
113,3154,40.2,PMTEOM,0.0,2020-01-05 17:00:00
114,3154,9.3,PMTEOM,0.0,2020-01-05 18:00:00
115,3154,9.9,PMTEOM,0.0,2020-01-05 19:00:00
116,3154,7.8,PMTEOM,0.0,2020-01-05 20:00:00
117,3154,6.8,PMTEOM,0.0,2020-01-05 21:00:00
118,3154,4.4,PMTEOM,0.0,2020-01-05 22:00:00
119,3154,5.4,PMTEOM,0.0,2020-01-05 23:00:00
120,3154,5.0,PMTEOM,0.0,2020-01-06 00:00:00
121,3154,5.3,PMTEOM,0.0,2020-01-06 01:00:00
122,3154,4.1,PMTEOM,0.0,2020-01-06 02:00:00
123,3154,4.9,PMTEOM,0.0,2020-01-06 03:00:00
124,3154,4.0,PMTEOM,0.0,2020-01-06 04:00:00
125,3154,5.8,PMTEOM,0.0,2020-01-06 05:00:00
126,3154,5.2,PMTEOM,0.0,2020-01-06 06:00:00
127,3154,7.1,PMTEOM,0.0,2020-01-06 07:00:00
128,3154,7.2,PMTEOM,0.0,2020-01-06 08:00:00
129,3154,5.2,PMTEOM,0.0,2020-01-06 09:00:00
130,3154,3.1,PMTEOM,0.0,2020-01-06 10:00:00
131,3154,2.9,PMTEOM,0.0,2020-01-06 11:00:00
132,3154,3.2,PMTEOM,0.0,2020-01-06 12:00:00
133,3154,4.0,PMTEOM,0.0,2020-01-06 13:00:00
134,3154,0.0,PMTEOM,0.0,2020-01-06 14:00:00
135,3154,-1.8,PMTEOM,0.0,2020-01-06 15:00:00
136,3154,8.0,PMTEOM,0.0,2020-01-06 16:00:00
137,3154,10.5,PMTEOM,0.0,2020-01-06 17:00:00
138,3154,5.1,PMTEOM,0.0,2020-01-06 18:00:00
139,3154,3.5,PMTEOM,0.0,2020-01-06 19:00:00
140,3154,2.3,PMTEOM,0.0,2020-01-06 20:00:00
141,3154,3.3,PMTEOM,0.0,2020-01-06 21:00:00
142,3154,0.0,PMTEOM,0.0,2020-01-06 22:00:00
143,3154,0.7,PMTEOM,0.0,2020-01-06 23:00:00
144,3154,1.5,PMTEOM,0.0,2020-01-07 00:00:00
145,3154,1.7,PMTEOM,0.0,2020-01-07 01:00:00
146,3154,2.4,PMTEOM,0.0,2020-01-07 02:00:00
147,3154,2.4,PMTEOM,0.0,2020-01-07 03:00:00
148,3154,2.4,PMTEOM,0.0,2020-01-07 04:00:00
149,3154,2.0,PMTEOM,0.0,2020-01-07 05:00:00
150,3154,3.7,PMTEOM,0.0,2020-01-07 06:00:00
151,3154,5.6,PMTEOM,0.0,2020-01-07 07:00:00
152,3154,5.7,PMTEOM,0.0,2020-01-07 08:00:00
153,3154,2.4,PMTEOM,0.0,2020-01-07 09:00:00
154,3154,2.3,PMTEOM,0.0,2020-01-07 10:00:00
155,3154,1.6,PMTEOM,0.0,2020-01-07 11:00:00
156,3154,1.6,PMTEOM,0.0,2020-01-07 12:00:00
157,3154,3.2,PMTEOM,0.0,2020-01-07 13:00:00
158,3154,3.4,PMTEOM,0.0,2020-01-07 14:00:00
159,3154,8.8,PMTEOM,0.0,2020-01-07 15:00:00
160,3154,2.4,PMTEOM,0.0,2020-01-07 16:00:00
161,3154,2.9,PMTEOM,0.0,2020-01-07 17:00:00
162,3154,2.6,PMTEOM,0.0,2020-01-07 18:00:00
163,3154,4.1,PMTEOM,0.0,2020-01-07 19:00:00
164,3154,3.6,PMTEOM,0.0,2020-01-07 20:00:00
165,3154,3.3,PMTEOM,0.0,2020-01-07 21:00:00
166,3154,4.2,PMTEOM,0.0,2020-01-07 22:00:00
167,3154,1.6,PMTEOM,0.0,2020-01-07 23:00:00
168,3154,2.1,PMTEOM,0.0,2020-01-08 00:00:00
