,site,ws,wd,units,name,latitude,longitude,dateC
135744,2849,2.48,44.0466,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 02:00:00
135745,2849,2.24,32.765598,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 03:00:00
135746,2849,2.2,52.812599,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 04:00:00
135747,2849,2.52,45.694099,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 05:00:00
135748,2849,2.33,42.146,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 06:00:00
135749,2849,1.72,57.814701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 07:00:00
135750,2849,1.39,75.096497,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 08:00:00
135751,2849,1.55,132.89999,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 09:00:00
135752,2849,1.57,156.065,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 10:00:00
135753,2849,1.35,161.618,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 11:00:00
135754,2849,0.69,145.87,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 12:00:00
135755,2849,1.08,184.83,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 13:00:00
135756,2849,1.33,191.02901,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 14:00:00
135757,2849,1.96,220.664,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 15:00:00
135758,2849,0.56,260.87701,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 16:00:00
135759,2849,2.5,34.560101,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 17:00:00
135760,2849,2.92,43.471298,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 18:00:00
135761,2849,1.64,32.3055,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 19:00:00
135762,2849,2.18,32.799301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 20:00:00
135763,2849,1.9,39.2057,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 21:00:00
135764,2849,1.93,47.993801,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 22:00:00
135765,2849,2.27,36.202702,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-03 23:00:00
135766,2849,2.22,45.000099,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 00:00:00
135767,2849,2.22,36.681,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 01:00:00
135768,2849,1.92,48.462299,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 02:00:00
135769,2849,2.08,29.504299,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 03:00:00
135770,2849,2.36,25.7922,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 04:00:00
135771,2849,2.43,27.588699,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 05:00:00
135772,2849,2.21,28.393499,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 06:00:00
135773,2849,1.27,48.933601,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 07:00:00
135774,2849,0.14,169.052,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-04 08:00:00
