site,value,units,name,latitude,longitude,dateC
2899,36,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 15:00
2899,32,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 16:00
2899,35,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 17:00
2899,37,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 18:00
2899,45,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 19:00
2899,47,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 20:00
2899,59,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 21:00
2899,61,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 22:00
2899,55,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/4/20 23:00
2899,54,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 0:00
2899,40,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 1:00
2899,42,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 2:00
2899,35,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 3:00
2899,31,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 4:00
2899,26,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 5:00
2899,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 6:00
2899,26,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 7:00
2899,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 8:00
2899,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 9:00
2899,20,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 10:00
2899,18,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 11:00
2899,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 12:00
2899,27,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 13:00
2899,26,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 14:00
2899,27,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 15:00
2899,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 16:00
2899,35,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 17:00
2899,43,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 18:00
2899,46,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 19:00
2899,49,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 20:00
2899,32,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 21:00
2899,26,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 22:00
2899,31,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/5/20 23:00
2899,28,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 0:00
2899,27,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 1:00
2899,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 2:00
2899,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 3:00
2899,17,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 4:00
2899,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 5:00
2899,32,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 6:00
2899,46,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 7:00
2899,49,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 8:00
2899,42,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 9:00
2899,31,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 10:00
2899,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 11:00
2899,25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 12:00
2899,16,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 13:00
2899,19,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 14:00
2899,16,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 15:00
2899,25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 16:00
2899,36,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/6/20 17:00
