site,value,units,name,latitude,longitude,dateC
2849,10.72,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 0:00
2849,12.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 1:00
2849,10.71,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 2:00
2849,7.08,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 3:00
2849,6.42,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 4:00
2849,6.92,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 5:00
2849,4.93,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 6:00
2849,5.42,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 7:00
2849,8.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 8:00
2849,10.72,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 9:00
2849,11.22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 10:00
2849,16.61,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 11:00
2849,17.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 12:00
2849,9.06,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 13:00
2849,9.53,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 14:00
2849,16.14,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 15:00
2849,13.66,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 16:00
2849,13.88,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 17:00
2849,24.88,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 18:00
2849,23.59,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 19:00
2849,27.36,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 20:00
2849,25.11,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 21:00
2849,18.98,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 22:00
2849,12.45,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/1/20 23:00
2849,11.44,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 0:00
2849,9.78,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 1:00
2849,11.22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 2:00
2849,12.68,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 3:00
2849,10.95,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 4:00
2849,10.71,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 5:00
2849,17.05,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 6:00
2849,13.39,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 7:00
2849,23.82,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 8:00
2849,31.55,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 9:00
2849,41.07,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 10:00
2849,33.92,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 11:00
2849,12.44,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 12:00
2849,20.69,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 13:00
2849,15.58,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 14:00
2849,17.85,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 15:00
2849,20.22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 16:00
2849,20.22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 17:00
2849,13.66,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 18:00
2849,11.46,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 19:00
2849,5.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 20:00
2849,2.97,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 21:00
2849,5.85,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 22:00
2849,6.84,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/2/20 23:00
2849,5.45,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 0:00
2849,4.94,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 1:00
2849,9.48,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 2:00
2849,7.33,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 3:00
2849,5.89,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 4:00
2849,8.11,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 5:00
2849,20.69,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 6:00
2849,26.36,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 7:00
2849,30.58,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 8:00
2849,39.61,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 9:00
2849,10.51,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 10:00
2849,11.74,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 11:00
2849,12.23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 12:00
2849,12.68,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 13:00
2849,18.43,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 14:00
2849,17.82,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 15:00
2849,19,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 16:00
2849,19.48,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 17:00
2849,16.86,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 18:00
2849,19.23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 19:00
2849,14.53,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 20:00
2849,11.72,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 21:00
2849,8.79,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 22:00
2849,5.89,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/3/20 23:00
2849,7.85,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/4/20 0:00
2849,8.34,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Glendora-Laurel,34.14437,-117.85038,1/4/20 1:00
