site,ws,wd,units,name,latitude,longitude,dateC
3011,7.95,3.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 0:00
3011,6.68,344.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 1:00
3011,10.02,332.60001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 2:00
3011,7.25,324.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 3:00
3011,8.75,317.29999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 4:00
3011,8.52,320.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 5:00
3011,10.36,332.79999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 6:00
3011,6.91,339.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 7:00
3011,6.33,351.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 8:00
3011,5.87,349.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 9:00
3011,7.14,342.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 10:00
3011,7.25,353.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 11:00
3011,7.37,338,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 12:00
3011,6.56,331.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 13:00
3011,7.14,329.60001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 14:00
3011,4.49,326.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 15:00
3011,2.76,301.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 16:00
3011,1.61,289.70001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 17:00
3011,1.38,120.7,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 18:00
3011,2.76,116.8,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 19:00
3011,2.99,150.3,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 20:00
3011,2.76,146.7,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 21:00
3011,2.76,136.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 22:00
3011,3.34,120.8,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/1/19 23:00
3011,3.22,130.8,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 0:00
3011,2.53,118.8,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 1:00
3011,1.73,101.1,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 2:00
3011,1.84,95.099998,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 3:00
3011,0.46,44.700001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 4:00
3011,0.69,309.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 5:00
3011,0.12,185.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 6:00
3011,0.81,283.60001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 7:00
3011,1.27,276.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 8:00
3011,0.35,170.3,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 9:00
3011,1.84,180.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 10:00
3011,3.22,168,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 11:00
3011,2.76,167.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 12:00
3011,1.73,204.2,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 13:00
3011,2.19,168.8,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 14:00
3011,1.84,169.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 15:00
3011,1.84,214,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 16:00
3011,1.38,204.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 17:00
3011,0.69,130.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 18:00
3011,0.23,339.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 19:00
3011,1.04,116.8,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 20:00
3011,0.35,298.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 21:00
3011,0.69,188.60001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 22:00
3011,1.38,93.300003,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/2/19 23:00
3011,2.42,93.699997,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 0:00
3011,1.61,68.199997,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 1:00
3011,0.69,57.400002,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 2:00
3011,0.69,291.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 3:00
3011,0.58,343.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 4:00
3011,1.84,335.79999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 5:00
3011,0.35,243,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 6:00
3011,1.96,325.29999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 7:00
3011,2.53,21,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 8:00
3011,2.76,23.6,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 9:00
3011,2.88,0.40000001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 10:00
3011,2.99,330.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 11:00
3011,3.57,343.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 12:00
3011,4.03,334.60001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 13:00
3011,3.57,339,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 14:00
3011,3.45,2.4000001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 15:00
3011,2.76,20.700001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 16:00
3011,2.19,17.1,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 17:00
3011,0.81,14.6,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 18:00
3011,0.46,28.1,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 19:00
3011,0.23,236.7,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 20:00
3011,0.46,295.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 21:00
3011,0.69,245.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 22:00
3011,0.69,224.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/3/19 23:00
3011,0.81,137.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 0:00
3011,0.12,59.599998,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 1:00
3011,1.15,133.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 2:00
3011,0.69,135.2,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 3:00
3011,1.15,121.2,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 4:00
3011,0.69,95.5,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 5:00
3011,0.46,56.900002,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 6:00
3011,0.69,305.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 7:00
3011,1.5,288,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 8:00
3011,1.5,294.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 9:00
3011,0.81,317.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 10:00
3011,0.46,9,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 11:00
3011,1.27,319.10001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 12:00
3011,1.61,241.3,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 13:00
3011,1.73,199.39999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 14:00
3011,1.38,170,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 15:00
3011,2.19,310.70001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 16:00
3011,2.19,307,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 17:00
3011,1.27,298.89999,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 18:00
3011,0.23,267.20001,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 19:00
3011,0.23,223.7,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 20:00
3011,0.92,100.3,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 21:00
3011,0.46,147.2,Miles Per Hour ( mph ),Sacramento-T Street,38.56844,-121.49311,1/4/19 22:00
