,site,ws,wd,units,name,latitude,longitude,dateC
118146,3026,0.6,60.599998,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 00:00:00
118147,3026,0.4,119.7,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 01:00:00
118148,3026,0.6,6.1999998,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 02:00:00
118149,3026,0.4,8.6999998,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 03:00:00
118150,3026,0.5,99.699997,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 04:00:00
118151,3026,0.3,313.20001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 05:00:00
118152,3026,0.4,84.400002,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 06:00:00
118153,3026,0.5,50.700001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 07:00:00
118154,3026,0.4,146.8,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 08:00:00
118155,3026,1.7,155.3,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 09:00:00
118156,3026,0.3,281.79999,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 10:00:00
118157,3026,1.9,283.29999,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 11:00:00
118158,3026,2.6,269.60001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 12:00:00
118159,3026,2.9,300.89999,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 13:00:00
118160,3026,3.4,301.20001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 14:00:00
118161,3026,2.9,277.10001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 15:00:00
118162,3026,1.8,297.89999,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 16:00:00
118163,3026,1.2,282.29999,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 17:00:00
118164,3026,0.2,188.60001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 18:00:00
118165,3026,0.4,64.0,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 19:00:00
118166,3026,0.6,45.0,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 20:00:00
118167,3026,0.6,105.6,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 21:00:00
118168,3026,0.2,70.599998,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 22:00:00
118169,3026,0.4,71.5,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-01 23:00:00
118170,3026,0.2,122.4,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 00:00:00
118171,3026,0.4,88.199997,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 01:00:00
118172,3026,0.5,74.800003,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 02:00:00
118173,3026,0.5,25.4,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 03:00:00
118174,3026,0.5,8.6999998,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 04:00:00
118175,3026,0.7,100.9,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 05:00:00
118176,3026,0.4,204.2,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 06:00:00
118177,3026,0.2,341.0,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 07:00:00
118178,3026,1.2,31.1,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 08:00:00
118179,3026,1.1,76.300003,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 09:00:00
118180,3026,3.0,105.3,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 10:00:00
118181,3026,3.0,158.7,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 11:00:00
118182,3026,2.3,140.10001,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 12:00:00
118183,3026,2.5,178.3,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 13:00:00
118184,3026,3.2,179.2,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 14:00:00
118185,3026,1.7,165.3,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 15:00:00
118186,3026,1.2,165.89999,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 16:00:00
118187,3026,0.1,9.3999996,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 17:00:00
118188,3026,0.8,0.5,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 18:00:00
118189,3026,1.1,8.8000002,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 19:00:00
118190,3026,0.6,19.0,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 20:00:00
118191,3026,0.7,22.5,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 21:00:00
118192,3026,0.5,41.400002,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 22:00:00
118193,3026,0.5,97.400002,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-02 23:00:00
118194,3026,0.6,87.800003,Miles Per Hour ( mph ),Clovis-N Villa Avenue,36.819313,-119.716389,2020-01-03 00:00:00
