,site,ws,wd,units,name,latitude,longitude,dateC
126906,2955,0.58,345.29999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 00:00:00
126907,2955,0.23,140.10001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 01:00:00
126908,2955,0.35,5.5,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 02:00:00
126909,2955,2.65,340.29999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 03:00:00
126910,2955,1.84,94.099998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 04:00:00
126911,2955,0.92,322.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 05:00:00
126912,2955,0.35,161.60001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 06:00:00
126913,2955,0.81,103.2,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 07:00:00
126914,2955,0.92,175.10001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 08:00:00
126915,2955,0.46,203.10001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 09:00:00
126916,2955,3.11,251.10001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 10:00:00
126917,2955,3.68,337.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 11:00:00
126918,2955,5.29,341.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 12:00:00
126919,2955,7.71,341.39999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 13:00:00
126920,2955,7.59,359.5,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 14:00:00
126921,2955,7.48,6.8000002,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 15:00:00
126922,2955,8.17,9.6999998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 16:00:00
126923,2955,11.05,351.29999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 17:00:00
126924,2955,8.75,329.60001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 18:00:00
126925,2955,4.37,353.20001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 19:00:00
126926,2955,3.11,359.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 20:00:00
126927,2955,6.67,344.5,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 21:00:00
126928,2955,4.95,351.20001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 22:00:00
126929,2955,4.03,340.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-01 23:00:00
126930,2955,5.64,350.0,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 00:00:00
126931,2955,4.37,16.799999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 01:00:00
126932,2955,2.99,350.79999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 02:00:00
126933,2955,3.68,19.0,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 03:00:00
126934,2955,4.95,32.599998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 04:00:00
126935,2955,3.57,21.200001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 05:00:00
126936,2955,1.61,40.099998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 06:00:00
126937,2955,3.57,2.0999999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 07:00:00
126938,2955,4.37,21.9,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 08:00:00
126939,2955,4.95,5.1999998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 09:00:00
126940,2955,5.29,15.1,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 10:00:00
126941,2955,3.91,358.60001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 11:00:00
126942,2955,3.57,22.5,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 12:00:00
126943,2955,3.68,18.0,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 13:00:00
126944,2955,3.11,40.0,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 14:00:00
126945,2955,6.1,81.699997,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 15:00:00
126946,2955,6.21,91.599998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 16:00:00
126947,2955,3.57,139.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 17:00:00
126948,2955,2.19,84.400002,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 18:00:00
126949,2955,1.15,35.099998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 19:00:00
126950,2955,0.81,312.70001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 20:00:00
126951,2955,1.38,309.89999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 21:00:00
126952,2955,0.81,338.10001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 22:00:00
126953,2955,0.69,80.099998,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-02 23:00:00
126954,2955,1.38,11.8,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-03 00:00:00
126955,2955,0.46,231.7,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-03 01:00:00
126956,2955,1.96,333.39999,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-03 02:00:00
126957,2955,2.76,328.70001,Miles Per Hour ( mph ),Paso Robles-Santa Fe Avenue,35.614668,-120.656912,2020-01-03 03:00:00
