pm_value,ws,wd
9.9,3.69,8.8999996
11.8,3.69,10.3
14.0,3.45,354.20001
8.9,3.34,331.70001
11.9,3.45,351.29999
8.6,3.57,9.3000002
10.4,2.53,351.70001
7.0,2.53,353.20001
10.8,2.76,309.60001
8.6,2.42,339.60001
12.6,2.19,21.700001
10.7,1.61,325.39999
7.9,2.07,33.599998
8.2,0.69,21.6
7.7,0.46,166.5
8.8,0.58,255.89999
9.2,0.35,212.7
11.6,0.69,195.10001
12.0,2.3,80.699997
15.4,1.84,89.800003
16.1,2.07,137.39999
15.4,3.8,122.4
14.6,4.61,155.7
12.9,4.49,162.5
7.5,5.41,187.39999
6.5,3.22,168.5
16.6,2.99,129.10001
20.6,2.88,162.39999
20.7,1.84,186.7
22.7,1.38,129.3
28.8,0.46,66.199997
30.8,1.73,76.400002
24.1,1.84,90.800003
19.7,1.73,89.599998
18.4,0.12,76.199997
18.4,1.15,287.29999
22.0,1.15,318.0
21.2,2.07,14.7
21.2,0.69,18.799999
23.4,1.84,12.2
12.6,3.11,5.8000002
12.7,2.53,17.0
14.6,2.3,8.6999998
10.8,1.84,6.6999998
8.8,2.53,18.0
8.5,3.69,26.6
8.8,4.38,5.5999999
8.6,3.57,0.80000001
10.5,2.76,345.39999
7.4,2.76,338.70001
15.2,2.88,325.89999
15.6,1.27,293.29999
13.2,2.07,12.3
11.6,1.15,357.39999
17.7,1.38,306.0
19.0,0.58,144.39999
20.4,0.92,109.4
20.5,1.27,90.400002
28.4,1.04,54.299999
29.5,1.04,60.099998
21.1,1.04,359.79999
26.0,1.61,302.70001
10.2,2.3,325.79999
11.8,3.45,336.70001
9.8,3.45,335.39999
13.3,2.53,310.20001
12.0,2.19,341.89999
9.8,2.42,41.799999
17.1,3.57,3.8
15.9,1.96,21.9
23.6,1.27,120.5
24.8,1.61,63.400002
23.5,6.33,142.3
11.0,5.87,161.8
14.1,5.3,139.5
12.1,4.95,128.89999
12.0,3.11,119.1
9.9,3.69,104.8
8.4,3.69,103.1
5.9,3.57,118.7
3.6,2.76,126.4
5.2,1.84,132.60001
3.4,1.15,133.3
4.2,1.96,125.9
8.3,4.49,155.0
6.7,4.49,139.2
5.8,3.57,128.89999
4.4,4.03,128.39999
5.9,5.18,147.3
9.2,5.3,138.2
7.2,3.34,137.8
6.9,3.45,125.4
7.7,4.72,121.4
5.6,5.53,118.8
4.3,4.95,114.2
5.7,3.92,84.300003
4.7,3.92,75.800003
3.2,3.57,69.599998
4.3,3.57,109.0
3.4,8.87,152.10001
0.8,10.36,153.10001
7.2,12.9,168.5
6.4,9.44,185.5
8.5,7.83,175.2
8.9,7.14,167.10001
7.1,7.37,161.2
