pm_value,ws,wd
24.0,7.53,242.67799
31.0,3.87,253.496
37.0,1.54,7.73454
45.0,3.79,16.680799
48.0,4.47,21.987499
53.0,4.52,23.014
46.0,6.47,19.2272
39.0,7.12,14.5377
37.0,5.29,14.4
35.0,6.29,19.8279
30.0,6.13,20.2603
24.0,7.66,14.7217
27.0,8.77,13.9606
24.0,9.69,11.3057
28.0,9.54,12.6563
28.0,8.11,10.8215
26.0,6.04,18.805901
25.0,5.22,17.022301
21.0,3.34,15.2632
10.0,1.03,53.460602
18.0,2.06,184.714
21.0,1.87,206.356
13.0,2.63,195.825
38.0,7.08,245.21001
32.0,5.97,239.08501
29.0,4.5,240.645
26.0,2.13,297.48801
39.0,3.34,7.7606802
43.0,3.77,22.8332
45.0,4.18,24.5702
37.0,4.16,34.567402
38.0,6.38,15.4219
29.0,6.85,13.5434
27.0,6.25,17.428301
26.0,7.0,19.983801
19.0,7.13,12.8305
16.0,6.76,13.6918
17.0,5.8,17.7309
19.0,5.87,22.388901
26.0,4.3,25.2068
29.0,1.83,36.650101
32.0,3.37,174.168
39.0,2.7,164.66499
40.0,2.19,142.17599
33.0,4.22,180.452
31.0,4.07,217.278
31.0,4.69,208.38
29.0,5.03,220.31599
29.0,4.61,203.55499
27.0,4.66,205.52901
32.0,4.34,195.50101
29.0,4.04,190.821
27.0,2.55,168.815
27.0,0.5,213.14799
35.0,4.91,310.10599
31.0,9.86,309.10599
28.0,9.97,304.625
42.0,12.18,316.267
19.0,9.93,311.582
22.0,10.78,313.71201
24.0,12.46,323.83499
45.0,13.12,320.36099
92.0,18.83,329.15201
27.0,19.09,304.79999
50.0,14.89,311.25699
52.0,13.65,322.022
51.0,14.58,326.164
47.0,16.65,327.29901
36.0,15.36,330.74799
22.0,14.3,328.332
18.0,13.71,332.987
17.0,13.58,336.086
9.0,11.64,326.36499
9.0,9.17,350.89401
10.0,6.95,17.935301
25.0,3.76,337.353
28.0,2.39,276.79001
29.0,1.14,352.95401
35.0,1.97,19.102699
40.0,1.61,17.9156
31.0,1.66,1.52564
36.0,1.67,17.5303
29.0,1.05,349.095
37.0,0.7,288.99701
36.0,0.8,321.987
45.0,0.86,346.84
68.0,0.62,23.430799
65.0,0.96,46.933899
51.0,2.4,201.28999
66.0,6.0,178.18401
34.0,5.71,189.99699
33.0,5.98,179.37601
33.0,5.02,177.57401
34.0,6.75,205.37199
33.0,8.22,228.73801
28.0,9.12,239.38699
23.0,8.08,242.564
16.0,4.89,216.83
31.0,1.93,145.019
33.0,4.61,19.952499
38.0,4.36,19.7582
34.0,4.38,30.554399
27.0,4.29,28.3715
40.0,5.54,19.6036
35.0,4.52,15.6366
26.0,5.37,359.43399
17.0,3.78,351.09399
16.0,3.25,356.349
17.0,2.16,38.3866
18.0,2.75,45.263199
29.0,3.83,40.882702
36.0,3.51,29.5376
34.0,3.22,38.232399
23.0,3.24,56.627201
27.0,2.22,71.816803
24.0,0.48,156.843
27.0,2.93,198.63699
32.0,3.7,206.632
30.0,5.32,212.37
24.0,6.67,244.19501
16.0,6.85,245.414
16.0,5.96,229.03101
14.0,5.45,245.98
19.0,2.05,269.23599
35.0,2.52,16.4438
41.0,3.05,12.9619
41.0,3.43,24.5618
43.0,3.43,31.0186
35.0,3.72,19.774599
30.0,3.37,17.027399
25.0,3.68,27.660101
29.0,4.63,19.662901
31.0,4.97,22.7269
38.0,5.51,15.3682
55.0,5.09,16.809601
59.0,5.71,16.424
51.0,4.56,22.57
41.0,2.94,35.373699
27.0,1.92,199.63699
23.0,1.63,194.485
38.0,2.09,164.22301
38.0,2.73,217.23
35.0,5.82,235.76801
32.0,6.87,235.524
26.0,7.54,246.35201
14.0,7.15,246.864
26.0,3.88,263.224
27.0,1.91,301.38
39.0,2.41,306.40701
38.0,2.14,2.7792799
43.0,2.83,354.24301
41.0,3.47,21.309601
37.0,4.02,33.984299
33.0,3.77,22.8636
36.0,3.76,4.0836401
35.0,2.91,25.3598
32.0,4.18,25.562799
41.0,4.0,16.2113
54.0,3.95,16.498199
54.0,4.58,23.464001
53.0,4.15,27.2456
53.0,0.72,119.268
36.0,4.29,238.369
36.0,5.28,229.08299
35.0,5.39,243.231
35.0,5.32,248.99699
34.0,4.94,250.85699
35.0,5.07,251.246
36.0,4.19,266.039
32.0,1.99,328.88501
40.0,0.7,336.30099
49.0,1.85,18.927401
59.0,2.13,9.2288399
51.0,3.16,15.0151
51.0,1.91,8.4610796
48.0,2.92,19.07
45.0,3.33,23.8818
42.0,3.39,23.9354
43.0,3.6,22.410299
44.0,3.86,14.4139
47.0,3.76,14.507
54.0,2.52,24.695
50.0,0.61,50.916901
68.0,1.27,181.03799
64.0,2.6,197.086
53.0,4.64,180.144
54.0,4.69,203.618
36.0,6.4,228.50301
28.0,6.16,237.049
28.0,8.07,240.40199
25.0,7.04,232.64101
23.0,4.6,251.498
27.0,2.83,243.873
30.0,0.61,313.73999
32.0,1.27,334.478
40.0,2.16,32.445301
33.0,2.39,36.236198
39.0,2.91,55.337898
36.0,1.89,74.083298
29.0,4.76,48.610401
33.0,5.84,73.7332
28.0,5.39,70.917603
19.0,1.91,90.862701
16.0,5.79,70.622299
25.0,6.17,71.231499
27.0,4.54,75.283798
32.0,6.28,73.128899
27.0,3.06,134.23399
15.0,4.99,163.935
7.0,4.63,167.67101
9.0,3.06,170.649
12.0,3.79,167.40401
12.0,1.15,121.265
10.0,2.17,163.19099
11.0,0.63,345.76199
13.0,0.62,320.48199
19.0,0.82,287.112
26.0,2.17,293.39801
23.0,2.14,286.89899
25.0,1.73,25.113001
26.0,0.94,343.00299
24.0,1.61,34.681301
23.0,0.71,77.954697
26.0,0.62,304.30099
26.0,1.94,351.00601
24.0,2.83,37.598
37.0,0.58,323.125
26.0,7.26,10.4927
41.0,0.67,104.701
53.0,2.75,176.981
43.0,3.12,171.13499
27.0,4.75,175.965
20.0,4.18,173.401
18.0,1.96,204.55299
15.0,1.89,198.72501
14.0,3.03,278.69901
32.0,4.28,357.61099
26.0,10.44,10.5633
16.0,6.92,12.897
19.0,6.07,20.4501
17.0,2.86,66.120102
36.0,0.92,302.013
41.0,1.18,342.073
30.0,1.94,15.5982
30.0,1.22,10.6795
25.0,1.93,16.670601
22.0,1.12,24.1894
25.0,0.68,334.29999
37.0,2.12,5.0588498
30.0,2.89,4.2258201
30.0,2.12,18.0924
41.0,2.24,36.2034
46.0,2.77,44.844501
69.0,1.2,59.7766
58.0,5.94,183.22501
50.0,6.79,183.98
58.0,6.26,198.011
51.0,8.03,183.179
40.0,7.74,215.285
27.0,6.78,204.36501
35.0,7.39,216.34399
39.0,7.74,236.298
37.0,7.87,245.336
27.0,5.34,244.047
32.0,1.34,250.401
30.0,1.89,351.33499
36.0,3.06,32.505901
38.0,2.29,17.053101
36.0,4.21,27.1609
33.0,3.48,23.865101
31.0,3.56,22.024599
33.0,3.88,25.9517
27.0,5.04,27.206499
31.0,4.94,19.819599
38.0,6.11,15.4047
34.0,5.01,25.323999
58.0,4.86,22.150101
42.0,5.16,30.9575
44.0,2.07,74.2435
52.0,1.36,134.425
52.0,2.66,169.771
55.0,3.13,181.02699
53.0,4.27,180.726
51.0,5.59,195.198
47.0,6.12,219.69299
40.0,4.9,210.40199
43.0,4.71,235.729
39.0,3.7,266.67899
46.0,1.05,311.42999
48.0,1.52,342.56601
52.0,2.61,6.0455599
53.0,2.37,10.487
45.0,2.22,25.5177
51.0,3.61,13.7614
48.0,2.81,7.3143702
51.0,2.94,347.89001
44.0,3.63,2.78458
42.0,3.85,22.041599
42.0,3.44,5.72121
44.0,3.79,3.75737
55.0,4.61,17.221201
49.0,4.4,17.431801
56.0,1.85,53.644402
46.0,1.57,63.815399
50.0,1.09,252.69299
55.0,2.5,181.95399
48.0,2.8,203.246
52.0,8.2,231.549
43.0,8.34,246.474
42.0,7.9,250.05099
42.0,6.89,235.243
43.0,5.03,239.015
45.0,3.96,249.519
44.0,4.23,255.25999
31.0,3.57,263.24799
46.0,3.18,17.505699
49.0,3.22,10.1127
46.0,1.85,21.3218
45.0,3.66,17.2005
40.0,3.48,17.6985
38.0,3.74,19.2295
40.0,3.83,21.987499
38.0,2.96,40.520802
55.0,3.39,5.9114399
48.0,3.84,26.0613
59.0,3.79,27.316401
53.0,0.81,67.004303
60.0,2.04,190.979
78.0,3.52,179.14799
64.0,4.13,181.104
53.0,4.56,185.76199
42.0,6.26,230.918
35.0,8.5,246.47
34.0,7.55,243.96201
39.0,7.33,247.258
37.0,4.42,247.01199
37.0,2.18,290.30701
39.0,2.17,318.099
43.0,1.99,352.341
51.0,3.18,19.1054
50.0,2.89,25.6991
43.0,2.92,24.4974
44.0,3.59,19.942699
42.0,3.68,23.181999
39.0,3.37,19.261101
40.0,4.0,26.9368
36.0,3.9,23.063101
37.0,3.68,17.6856
41.0,3.63,13.3067
43.0,4.51,17.641399
45.0,3.04,40.7668
44.0,1.28,163.539
44.0,3.15,197.26199
54.0,1.96,201.237
56.0,4.91,199.549
43.0,6.1,232.899
36.0,7.23,251.063
32.0,6.19,249.965
28.0,5.58,251.077
27.0,4.3,255.743
34.0,2.4,284.35699
46.0,1.63,296.98999
40.0,1.56,346.59399
55.0,2.19,4.0834899
55.0,3.48,25.0952
52.0,2.17,13.3135
48.0,3.19,24.1849
49.0,2.56,22.950199
44.0,3.14,19.913799
38.0,3.08,20.8304
33.0,3.07,25.5625
33.0,2.92,26.8543
43.0,3.96,25.5627
36.0,2.15,26.407801
35.0,0.9,66.4412
42.0,1.56,177.54601
43.0,4.24,180.002
38.0,4.5,189.153
37.0,6.48,230.12601
32.0,7.88,242.23399
29.0,7.4,240.61501
26.0,6.45,241.056
27.0,5.46,247.90601
32.0,2.66,289.63599
36.0,2.13,312.16501
37.0,1.58,320.995
36.0,1.53,352.05301
43.0,3.43,9.5184202
44.0,3.91,9.8691902
36.0,3.01,41.9044
32.0,2.83,14.5391
32.0,2.68,21.842199
27.0,3.38,22.302299
32.0,2.75,28.719101
37.0,3.06,15.3539
40.0,3.08,30.5161
51.0,2.16,28.374201
51.0,1.47,48.641102
72.0,1.81,177.78999
52.0,2.1,184.317
52.0,2.72,171.25301
38.0,3.44,186.44701
42.0,3.08,229.222
38.0,4.23,222.77499
40.0,6.76,247.065
35.0,7.2,249.224
33.0,6.81,240.608
35.0,4.01,247.30099
38.0,1.44,309.034
44.0,1.47,304.431
50.0,1.28,11.9485
52.0,2.4,26.0312
47.0,2.56,9.9522495
46.0,1.68,16.712
42.0,2.15,19.182199
42.0,2.22,18.5812
39.0,3.01,29.848301
42.0,0.06,130.50999
48.0,3.24,7.8328199
48.0,2.34,38.9902
48.0,4.0,49.370201
45.0,1.87,45.353298
48.0,0.35,357.91199
63.0,0.74,55.5331
59.0,1.61,180.092
58.0,2.82,178.604
59.0,5.78,230.03999
56.0,6.72,247.66701
52.0,8.14,243.868
42.0,7.26,252.87
40.0,5.35,246.74001
29.0,5.03,248.39799
29.0,2.03,260.03601
31.0,3.24,182.16499
34.0,2.95,176.686
35.0,1.5,211.213
40.0,2.48,71.458801
44.0,2.05,55.371601
46.0,0.9,147.526
50.0,2.18,45.509899
44.0,2.08,4.57024
46.0,3.96,44.220299
44.0,4.87,53.610699
46.0,3.66,17.8015
49.0,4.03,14.8303
54.0,3.09,51.453499
56.0,1.64,53.464699
62.0,1.25,218.03999
67.0,1.27,176.235
69.0,1.36,210.084
62.0,5.03,228.30299
53.0,5.96,221.528
42.0,6.34,246.869
43.0,6.93,248.47301
92.0,6.51,250.703
31.0,2.62,274.34799
30.0,2.61,269.37299
33.0,1.99,289.60101
39.0,1.25,331.879
36.0,1.52,352.16599
39.0,2.24,8.7355404
45.0,3.03,16.0471
33.0,3.35,26.592501
43.0,3.8,28.2897
40.0,3.1,4.4895401
42.0,2.89,3.55233
49.0,2.84,34.9571
50.0,6.01,21.205
53.0,5.51,16.8839
38.0,3.0,13.2664
44.0,2.4,57.117901
38.0,2.27,140.592
31.0,2.17,164.953
28.0,3.26,167.438
24.0,1.88,162.522
19.0,2.99,169.39101
55.0,8.05,248.98801
48.0,5.74,243.116
48.0,2.27,271.267
59.0,2.42,296.461
59.0,3.37,15.4832
53.0,0.22,283.01199
56.0,2.09,306.12201
52.0,4.97,17.2589
51.0,6.03,15.4617
50.0,5.72,8.7023201
39.0,5.4,12.2074
30.0,6.81,12.5376
24.0,5.88,21.489201
29.0,5.28,20.5459
35.0,5.26,19.616899
42.0,5.93,20.9949
36.0,5.19,26.020201
36.0,3.21,62.639301
40.0,2.69,159.099
40.0,3.68,172.528
35.0,4.29,169.944
33.0,6.86,175.567
24.0,7.23,176.429
28.0,6.19,175.761
33.0,5.56,170.33501
46.0,6.81,171.589
37.0,7.69,177.83701
38.0,3.85,173.53
34.0,3.58,165.408
19.0,3.21,75.555
24.0,3.73,69.250999
23.0,0.88,148.896
24.0,1.54,158.99899
22.0,4.55,162.951
17.0,1.09,161.959
17.0,5.27,72.682198
14.0,3.98,72.588303
20.0,2.33,82.760101
21.0,1.25,90.962402
20.0,2.0,101.558
22.0,3.1,170.867
17.0,4.87,174.39999
19.0,4.45,181.717
17.0,4.46,172.22
20.0,6.35,169.425
13.0,6.14,179.12399
13.0,4.03,177.002
12.0,5.69,193.32899
12.0,9.9,233.73399
12.0,7.57,245.35899
13.0,4.87,238.55099
14.0,4.85,235.151
14.0,3.29,247.58701
17.0,1.2,262.51401
19.0,2.59,252.793
21.0,1.75,312.47101
17.0,1.89,318.625
17.0,2.54,265.47501
24.0,1.88,283.88199
19.0,1.71,313.185
13.0,1.69,30.031099
18.0,1.22,357.03101
19.0,2.61,20.8498
28.0,3.34,25.980499
27.0,1.53,37.869999
27.0,1.11,172.101
29.0,2.98,184.819
29.0,3.11,197.892
34.0,3.44,189.69701
33.0,4.28,228.541
31.0,5.38,227.121
32.0,6.51,239.095
32.0,6.42,239.317
29.0,7.36,249.27499
20.0,7.02,246.851
20.0,4.14,253.46001
24.0,2.05,327.49899
24.0,1.37,326.69
33.0,1.69,21.2955
32.0,2.18,8.5656796
27.0,3.11,25.056101
30.0,2.73,26.077
26.0,3.28,22.2019
30.0,3.03,23.3785
30.0,3.66,19.012199
35.0,2.89,17.445299
43.0,4.32,11.6766
39.0,4.39,15.1477
39.0,3.01,26.241501
50.0,0.89,61.217098
49.0,1.63,182.765
60.0,2.23,189.554
53.0,4.12,236.539
43.0,7.79,244.55099
35.0,5.79,246.54601
36.0,6.56,249.064
35.0,6.75,248.526
32.0,6.07,249.174
31.0,4.13,249.95399
36.0,3.01,257.15799
31.0,1.33,336.64001
41.0,1.2,359.59799
38.0,0.96,352.94501
39.0,2.9,30.5478
40.0,3.3,13.4917
37.0,4.13,18.3349
33.0,3.88,13.256
31.0,4.3,22.757601
29.0,4.69,26.9111
23.0,4.99,20.275499
45.0,3.82,20.105101
48.0,4.11,24.985701
48.0,3.6,28.095301
47.0,2.39,32.238998
34.0,3.34,249.894
23.0,4.16,221.94701
30.0,5.77,196.619
38.0,6.41,239.446
50.0,7.75,243.702
37.0,8.65,248.02499
25.0,8.32,256.311
25.0,5.88,267.08899
37.0,1.51,292.741
41.0,2.32,339.02802
43.0,3.31,33.1273
38.0,2.52,22.889
38.0,3.87,22.759899
54.0,4.11,20.372499
42.0,4.02,18.933901
35.0,4.73,14.3278
33.0,5.44,10.9113
35.0,5.83,21.0982
33.0,5.91,23.5128
41.0,3.86,18.8347
45.0,5.14,19.8675
63.0,4.72,23.5751
48.0,3.52,25.686399
26.0,1.34,42.082802
29.0,1.49,201.218
33.0,1.33,188.841
35.0,2.09,185.444
30.0,2.46,187.599
33.0,2.93,174.351
38.0,8.11,241.55499
32.0,8.91,243.09801
26.0,6.18,254.56599
23.0,2.13,302.88501
31.0,2.19,0.21483999
39.0,3.36,18.682301
47.0,4.18,21.1891
49.0,5.36,17.9851
61.0,6.74,15.9265
45.0,6.42,19.1555
39.0,7.32,15.3658
33.0,8.81,11.9896
32.0,9.11,12.6658
34.0,6.99,17.494801
35.0,6.85,13.0756
40.0,6.61,12.8123
40.0,7.56,19.068501
31.0,6.85,13.1501
33.0,4.92,17.916401
40.0,3.98,34.551899
37.0,2.87,34.271599
29.0,0.81,93.327904
23.0,0.93,310.31699
19.0,2.05,10.3176
19.0,2.41,320.71399
32.0,4.0,277.75
27.0,3.12,260.246
43.0,1.78,319.40201
54.0,2.79,27.5889
49.0,4.8,19.4146
42.0,3.87,20.490801
43.0,5.88,14.8997
41.0,6.14,10.5933
39.0,4.82,15.7934
36.0,6.94,9.5391903
37.0,8.06,11.7168
22.0,6.4,17.6315
24.0,5.9,17.566
32.0,5.51,24.124599
37.0,7.45,15.7646
39.0,7.14,13.6166
46.0,6.81,22.4345
37.0,4.37,36.026901
33.0,6.18,64.952499
24.0,3.97,73.223099
18.0,2.91,175.311
16.0,5.54,178.239
11.0,4.5,197.261
31.0,9.07,228.286
24.0,8.11,243.718
15.0,2.3,300.10999
25.0,1.56,319.673
26.0,5.21,181.442
33.0,4.72,173.73
20.0,1.8,73.379799
23.0,2.71,60.439499
27.0,2.03,60.4729
35.0,1.3,290.68201
31.0,2.52,13.4862
26.0,1.0,28.980101
38.0,1.67,7.8754902
29.0,3.6,15.5646
28.0,2.8,15.1056
32.0,3.01,37.387402
35.0,2.28,45.583199
33.0,1.11,143.159
33.0,2.53,147.12
25.0,2.41,152.98
28.0,2.2,160.36
26.0,5.14,172.603
27.0,6.57,182.507
22.0,5.82,181.25301
19.0,6.77,188.75101
20.0,4.68,203.70599
24.0,4.24,205.411
23.0,4.03,195.601
21.0,5.34,164.832
19.0,1.0,123.306
22.0,4.46,67.579903
24.0,6.12,75.2864
22.0,5.56,65.143799
24.0,5.34,61.549099
21.0,5.11,60.818901
22.0,5.64,67.8386
18.0,4.98,74.215401
25.0,2.75,82.844101
36.0,4.87,169.67799
33.0,3.11,171.26401
33.0,4.67,166.13901
32.0,4.46,166.938
34.0,5.67,213.821
33.0,7.32,208.502
30.0,7.84,213.116
27.0,7.98,233.343
25.0,7.6,227.05901
21.0,6.78,204.957
24.0,5.96,213.354
21.0,7.12,183.813
22.0,4.71,183.563
17.0,2.52,165.85001
20.0,0.68,136.41901
22.0,2.6,77.843201
11.0,4.2,66.895203
16.0,5.5,39.875099
13.0,5.24,29.6551
12.0,2.5,29.760799
13.0,2.85,13.6172
18.0,4.06,13.7562
14.0,1.93,30.8598
19.0,1.68,5.5573001
30.0,2.73,16.2216
29.0,2.67,25.760099
42.0,2.96,37.5466
50.0,0.66,218.256
29.0,1.38,241.827
29.0,3.2,30.750099
12.0,4.79,21.573299
43.0,10.37,39.124699
20.0,4.68,1.04185
28.0,10.29,19.746599
40.0,10.3,358.70901
38.0,11.0,17.560699
38.0,11.57,358.64899
29.0,9.55,352.79599
33.0,13.86,357.17099
17.0,9.2,346.01801
15.0,7.59,325.75299
16.0,5.08,329.802
11.0,3.74,42.646702
13.0,1.4,296.64099
13.0,3.49,282.60599
9.0,2.34,8.6075296
11.0,2.02,1.98657
17.0,2.36,355.444
24.0,3.97,21.01
31.0,2.03,24.1269
30.0,2.33,47.535198
32.0,2.26,57.795502
32.0,3.29,175.31599
20.0,2.46,149.052
15.0,3.01,172.944
23.0,5.44,192.783
27.0,5.95,193.283
25.0,6.59,178.397
25.0,6.29,178.80901
31.0,4.43,178.771
40.0,3.85,172.683
46.0,2.55,166.83099
46.0,1.39,23.0093
48.0,1.01,354.24799
53.0,1.23,321.586
45.0,3.74,18.038799
34.0,1.65,21.782101
41.0,1.47,6.8355598
40.0,2.83,12.4375
36.0,3.82,21.5611
31.0,3.01,18.857
53.0,3.33,17.204201
55.0,1.1,24.681601
46.0,2.66,180.52
44.0,2.01,182.397
49.0,3.82,177.76401
43.0,2.72,175.147
41.0,3.85,178.92
39.0,4.2,221.19701
47.0,8.86,239.701
43.0,6.82,216.53999
39.0,6.08,246.40601
39.0,5.03,254.66499
37.0,3.11,260.936
40.0,1.38,291.49399
45.0,0.89,8.8378496
49.0,2.93,179.965
41.0,4.81,254.702
33.0,3.97,257.246
33.0,2.46,312.71301
36.0,2.67,3.7549701
40.0,2.53,1.4125
40.0,2.11,2.7634699
40.0,3.43,15.9822
23.0,4.72,20.864201
33.0,2.21,16.496201
42.0,2.21,351.56299
54.0,1.17,18.6929
55.0,0.0,251.85201
62.0,2.05,202.767
56.0,2.38,178.22
56.0,2.8,195.24899
57.0,4.24,220.25301
56.0,7.71,244.605
46.0,8.53,238.334
42.0,8.71,241.867
45.0,7.47,236.541
44.0,3.84,238.871
35.0,5.57,178.38
39.0,1.37,149.74899
43.0,1.96,174.282
51.0,3.24,165.11301
39.0,1.72,174.063
38.0,1.27,64.813698
38.0,1.24,27.7355
35.0,1.94,5.1739802
33.0,2.22,12.2378
35.0,3.09,15.6699
35.0,1.37,20.1626
50.0,0.77,125.297
50.0,2.68,171.16
50.0,1.82,158.80901
66.0,1.29,163.767
59.0,3.53,180.455
61.0,3.7,182.269
58.0,3.61,186.992
72.0,6.6,218.47301
56.0,6.18,249.528
47.0,6.02,190.71001
37.0,5.2,195.981
28.0,9.87,244.004
21.0,6.03,254.005
16.0,3.75,265.23801
21.0,2.98,216.222
23.0,4.24,181.995
24.0,3.02,197.817
23.0,2.3,64.879501
26.0,2.75,65.123001
27.0,2.78,177.536
21.0,5.36,178.187
19.0,5.13,174.03799
16.0,3.14,195.425
13.0,3.39,194.698
14.0,4.2,185.32201
15.0,1.52,187.90199
23.0,3.1,175.153
20.0,5.36,192.151
19.0,4.42,207.48599
16.0,5.75,177.02901
18.0,7.81,196.79401
12.0,6.8,201.98
18.0,8.75,226.98801
9.0,8.47,233.41299
9.0,8.66,232.397
7.0,9.4,234.877
6.0,7.78,244.817
5.0,5.29,246.27699
5.0,4.5,258.56201
5.0,2.31,310.95401
4.0,1.77,5.5685701
7.0,1.01,181.121
8.0,3.45,206.653
6.0,3.21,266.77802
3.0,1.18,333.33099
4.0,1.25,349.90302
7.0,2.19,0.13728
7.0,2.38,10.8155
9.0,2.03,25.3657
12.0,4.58,38.920898
13.0,2.38,40.887001
13.0,1.39,148.75999
10.0,3.13,179.778
5.0,4.57,173.515
6.0,4.63,191.332
9.0,5.35,205.116
8.0,6.7,219.854
6.0,7.27,204.62
7.0,7.07,230.146
8.0,6.95,240.632
7.0,5.31,247.47
8.0,2.66,297.379
10.0,2.91,356.883
11.0,2.02,14.413
13.0,2.55,19.147499
13.0,3.02,13.9988
16.0,3.84,18.853399
11.0,4.7,19.451401
12.0,5.2,14.7085
13.0,3.06,23.050501
13.0,5.41,17.5005
19.0,4.71,14.5184
27.0,3.07,28.3948
27.0,6.04,19.3305
23.0,6.32,42.844398
20.0,6.22,45.216499
19.0,4.76,40.830399
13.0,1.05,97.307098
12.0,1.48,147.308
10.0,1.43,215.12801
11.0,1.6,158.056
11.0,2.56,84.261703
12.0,3.43,173.76401
14.0,2.58,74.856903
21.0,2.77,101.14
190.0,14.37,166.59
19.0,4.97,132.659
12.0,2.23,112.632
13.0,4.05,40.007198
11.0,0.48,132.46201
11.0,3.06,3.9944501
11.0,2.99,6.39533
9.0,5.15,66.7286
10.0,9.74,71.331299
9.0,13.48,66.094398
7.0,13.27,63.184898
7.0,12.58,67.677696
9.0,12.57,64.941002
8.0,10.38,69.973297
6.0,9.69,63.279301
6.0,8.97,69.528702
10.0,4.18,83.044899
11.0,3.12,136.41299
9.0,5.0,73.259697
11.0,4.3,152.87801
9.0,7.92,166.349
8.0,8.0,168.061
10.0,4.81,167.16701
9.0,2.92,164.74899
17.0,3.48,170.922
16.0,4.84,180.327
17.0,4.7,170.34801
16.0,3.56,171.51199
14.0,4.27,174.64799
13.0,3.31,168.257
11.0,1.79,162.94099
11.0,1.71,163.267
12.0,1.42,166.209
21.0,2.12,167.39101
14.0,2.68,167.597
12.0,0.6,122.741
19.0,3.68,71.2342
14.0,1.91,159.48
15.0,2.56,81.6884
15.0,2.36,171.442
12.0,3.06,166.836
13.0,3.79,225.571
13.0,5.01,200.37
13.0,5.95,226.821
12.0,6.54,208.433
12.0,6.26,214.353
11.0,6.79,254.70799
11.0,4.59,263.32599
14.0,3.29,267.08801
21.0,1.41,289.51999
19.0,1.66,345.96899
17.0,1.97,330.74899
18.0,1.81,338.505
19.0,2.24,2.1468301
17.0,2.12,19.2789
20.0,2.31,27.410101
14.0,2.24,353.099
15.0,1.71,334.67401
25.0,0.62,0.81127
30.0,3.09,14.0022
31.0,4.12,26.1549
27.0,3.35,28.925501
35.0,1.97,164.64799
29.0,5.05,229.696
21.0,4.64,292.211
12.0,10.86,254.468
10.0,6.11,271.966
9.0,4.17,351.267
8.0,12.88,345.07999
5.0,3.03,261.496
6.0,1.59,328.51199
10.0,0.15,75.618698
16.0,2.25,32.449402
11.0,3.51,16.6327
12.0,3.72,9.1208601
14.0,3.01,37.941898
14.0,4.52,34.121799
12.0,4.13,26.2027
10.0,3.56,15.1071
10.0,4.37,37.498501
6.0,3.05,36.375999
5.0,3.82,29.4893
7.0,2.96,21.505699
6.0,1.04,333.44699
6.0,2.0,24.5065
9.0,2.46,52.110199
10.0,1.79,57.6036
17.0,1.88,135.269
7.0,1.52,174.998
7.0,0.93,99.373398
6.0,3.81,48.7841
6.0,3.66,53.078201
8.0,3.81,54.676498
12.0,3.14,57.811699
12.0,2.9,62.713799
15.0,1.95,64.809097
17.0,2.95,73.003502
16.0,0.61,99.829102
17.0,0.76,161.32899
22.0,1.61,174.61099
13.0,0.59,127.389
13.0,2.27,65.914001
12.0,2.23,59.0662
11.0,2.48,54.692299
16.0,3.54,70.732903
13.0,1.29,93.113403
11.0,0.41,124.027
7.0,0.61,172.94901
6.0,1.54,57.5439
10.0,2.92,38.8759
16.0,3.32,60.244999
10.0,3.07,215.823
9.0,4.8,247.97301
7.0,3.71,225.16299
6.0,5.45,234.58
5.0,3.02,266.03299
7.0,2.39,11.0951
12.0,2.24,48.747002
15.0,1.94,57.4594
16.0,1.89,30.433599
17.0,0.88,63.6889
19.0,1.29,47.393101
21.0,2.88,64.1287
16.0,3.8,70.412498
16.0,4.14,67.276199
11.0,2.28,55.167
6.0,2.34,296.017
3.0,2.72,358.814
4.0,2.11,358.005
4.0,1.51,35.471001
8.0,1.83,20.7705
10.0,1.28,55.2612
8.0,1.16,141.617
10.0,4.39,194.875
13.0,4.18,230.239
20.0,4.87,218.229
15.0,5.53,224.063
13.0,6.67,229.858
10.0,6.81,229.575
8.0,4.92,206.43401
8.0,4.46,213.03999
16.0,4.8,227.44299
11.0,3.14,256.24701
12.0,1.38,281.741
16.0,1.63,299.06799
17.0,1.56,321.89401
17.0,1.53,3.4926701
18.0,1.73,8.5538902
21.0,2.6,25.806601
12.0,1.62,17.1791
18.0,1.64,11.984
22.0,1.56,17.3078
34.0,4.24,60.882401
39.0,3.95,64.255997
23.0,5.11,71.2005
20.0,1.79,97.723099
27.0,2.02,119.303
20.0,5.77,89.283096
19.0,8.08,72.784698
60.0,9.01,156.664
45.0,13.59,171.36
33.0,13.44,169.89301
19.0,13.68,172.864
13.0,5.93,191.34399
7.0,6.15,177.72099
4.0,1.07,128.707
6.0,1.89,61.473301
7.0,5.19,242.446
7.0,2.83,256.92801
8.0,2.17,329.25699
10.0,1.25,336.27301
9.0,1.8,4.9605598
9.0,1.65,356.272
9.0,1.81,0.92776
10.0,2.18,4.8304
11.0,3.62,12.4777
11.0,2.76,8.3357697
12.0,4.65,25.3176
17.0,3.05,347.80801
17.0,3.02,13.0193
13.0,2.14,51.023998
12.0,1.61,152.161
11.0,0.76,143.94701
12.0,6.02,333.271
11.0,1.97,209.856
10.0,4.37,178.448
9.0,4.95,73.189697
9.0,3.62,63.615299
10.0,1.82,265.26999
9.0,4.6,260.04099
9.0,3.4,264.461
