,site,ws,wd,units,name,latitude,longitude,dateC
17443,3658,6.37,93.190002,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 00:00:00
17444,3658,5.19,136.64999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 01:00:00
17445,3658,4.63,138.74001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 02:00:00
17446,3658,6.03,124.33,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 03:00:00
17447,3658,5.59,139.02,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 04:00:00
17448,3658,6.49,133.52,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 05:00:00
17449,3658,4.64,124.84,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 06:00:00
17450,3658,4.0,177.56,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 07:00:00
17451,3658,3.3,107.54,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 08:00:00
17452,3658,5.09,81.650002,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 09:00:00
17453,3658,7.85,69.400002,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 10:00:00
17454,3658,9.21,85.830002,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 11:00:00
17455,3658,8.53,91.650002,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 12:00:00
17456,3658,7.51,78.410004,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 13:00:00
17457,3658,6.82,79.120003,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 14:00:00
17458,3658,5.14,94.059998,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 15:00:00
17459,3658,4.03,96.309998,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 16:00:00
17460,3658,3.46,130.39999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 17:00:00
17461,3658,2.25,151.11,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 18:00:00
17462,3658,2.68,139.92,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 19:00:00
17463,3658,1.96,247.44,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 20:00:00
17464,3658,1.94,238.92999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 21:00:00
17465,3658,2.5,268.92001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 22:00:00
17466,3658,1.75,260.66,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-01 23:00:00
17467,3658,1.74,230.58,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 00:00:00
17468,3658,1.56,183.46001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 01:00:00
17469,3658,1.02,246.50999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 02:00:00
17470,3658,2.05,284.54001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 03:00:00
17471,3658,1.62,267.57999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 04:00:00
17472,3658,1.2,212.17,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 05:00:00
17473,3658,1.21,247.50999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 06:00:00
17474,3658,2.19,276.04999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 07:00:00
17475,3658,3.28,299.01001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 08:00:00
17476,3658,5.02,302.48999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 09:00:00
17477,3658,4.58,175.99001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 10:00:00
17478,3658,4.61,97.639999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 11:00:00
17479,3658,5.11,86.370003,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 12:00:00
17480,3658,4.93,100.34,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 13:00:00
17481,3658,5.14,88.43,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 14:00:00
17482,3658,3.57,97.699997,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 16:00:00
17483,3658,2.83,65.839996,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 17:00:00
17484,3658,3.12,57.540001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 18:00:00
17485,3658,2.39,133.12,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 19:00:00
17486,3658,1.77,255.17,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 20:00:00
17487,3658,1.9,248.59,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 21:00:00
17488,3658,2.54,262.78,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 22:00:00
17489,3658,1.62,253.57001,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-02 23:00:00
17490,3658,1.67,189.92,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 00:00:00
17491,3658,1.64,162.39,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 01:00:00
17492,3658,1.48,168.84,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 02:00:00
17493,3658,1.89,197.37,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 03:00:00
17494,3658,1.93,296.98999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 04:00:00
17495,3658,1.94,255.03,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 05:00:00
17496,3658,1.53,231.00999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 06:00:00
17497,3658,1.03,181.25999,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 07:00:00
17498,3658,1.76,289.25,Miles Per Hour ( mph ),Lancaster-43301 Division Street,34.66959,-118.13068,2019-01-03 08:00:00
