site,value,units,name,latitude,longitude,dateC
3026,55.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 0:00
3026,49.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 1:00
3026,48.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 2:00
3026,29,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 3:00
3026,30.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 4:00
3026,31.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 5:00
3026,26.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 6:00
3026,28.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 7:00
3026,19.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 8:00
3026,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 9:00
3026,24.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 10:00
3026,29.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 11:00
3026,34.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 12:00
3026,32.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 13:00
3026,27.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 14:00
3026,24.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 15:00
3026,31,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 16:00
3026,35.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 17:00
3026,38.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 18:00
3026,44.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 19:00
3026,54.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 20:00
3026,45.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 21:00
3026,43.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 22:00
3026,37.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/1/20 23:00
3026,37.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 0:00
3026,31,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 1:00
3026,31.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 2:00
3026,28.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 3:00
3026,26.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 4:00
3026,24.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 5:00
3026,20.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 6:00
3026,29.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 7:00
3026,30.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 8:00
3026,27.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 9:00
3026,33.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 10:00
3026,50.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 11:00
3026,35.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 12:00
3026,28.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 13:00
3026,31.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 14:00
3026,32,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Clovis-N Villa Avenue,36.819313,-119.716389,1/2/20 15:00
