,Mean,Max,Min,Data_Points
2849,28.898823944490182,587.85,-4.54,8503
2899,33.87457785023873,614.0,0.0,8587
2948,15.336649640120733,846.0,-3.5,8614
2955,24.498360655737706,758.6,-3.4,8601
2956,27.652674653066068,576.3,-2.0,8431
3011,31.551316858104187,700.9,-2.2,8619
3026,51.732252042007005,949.3,0.0,8570
3154,23.507741713499254,1987.6,-4.5,8719
3658,29.736531108793884,844.0,-5.0,8631
3762,29.358210712183638,405.0,-4.0,8495
