site,ws,wd,units,name,latitude,longitude,dateC
2948,4.61,83.400002,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 0:00
2948,6.33,82.699997,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 1:00
2948,7.14,74.699997,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 2:00
2948,5.07,81.5,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 3:00
2948,5.64,84.5,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 4:00
2948,6.33,80.800003,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 5:00
2948,1.84,100.2,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 6:00
2948,0.81,98.400002,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 7:00
2948,0.58,180.8,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 8:00
2948,0.81,7.0999999,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 9:00
2948,2.76,269.70001,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 10:00
2948,3.34,336.5,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 11:00
2948,4.03,4.5,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 12:00
2948,3.11,22.6,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 13:00
2948,2.65,23.4,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 14:00
2948,2.76,56.099998,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 15:00
2948,2.19,84.5,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 16:00
2948,2.53,19.6,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 17:00
2948,0.58,62,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 18:00
2948,1.04,132.8,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 19:00
2948,0.92,84.199997,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 20:00
2948,1.5,104.1,Miles Per Hour ( mph ),South Lake Tahoe-Sandy Way,38.944979,-119.970609,1/1/19 21:00
